,Coefficient
vertical_drop,1.21875
trams,11124711210818.846
fastEight,1093668087865.0293
fastSixes,12947336719327.422
fastQuads,43674528388136.625
quad,26070976300122.445
triple,32168003908274.477
double,36060007507092.26
surface,40919758005731.74
total_chairs,115205140295288.19
Runs,1.40625
TerrainParks,0.234375
LongestRun_mi,0.21875
SkiableTerrain_ac,0.140625
Snow Making_ac,0.73046875
daysOpenLastYear,1.09375
yearsOpen,0.3203125
averageSnowfall,1.296875
AdultWeekday,19.8125
projectedDaysOpen,0.171875
NightSkiing_ac,0.3515625
clusters,1.09375
